Nome da Turma,Nome do Professor
Tecnologia e Progamação WEB,Profº Paulo Peres
Tópicos de Sistemas da Informação,Profº Luiz Paulo
Organização e Arquitetura de Computadores,Profº Fernando Filho
Pensamento Computacional,Profº Francisco Duó
Ferramentas Práticas e Tecnologia + Extensão,Profª Hinata Queiroz
Banco de Dados I,Profª Patrick Amorim
Projeto Integrador I,Profº Fernando FIlho
Programação I,Profº Paulo Peres
Introdução à Cibersegurança,Profº Eduardo Monteiro
Projeto Integrador II,Profº Fernando FIlho
Programação Backend,Profº Francisco Duó
Banco de Dados II,Profª Claudia Cavalcante
Engenharia de Usabilidade e Interface + Extensão,Profº Walace da Silva
Projeto integrador III (60),Profº Sosthenes Carlos
Programação II POO (60h),Profº Francisco Gessivaldo
Programação para Dispositivos Móveis I (60h),Profª Rodrigo de Jesus
Avaliação de Software (60h),Profª Hinata Queiroz
Projeto integrador IV,Profº Sosthenes Carlos
Programação para Dispositivos Móveis II,Profª Rodrigo de Jesus
Análise de Dados,Profº Francisco Gessivaldo
Gestão de Projetos PMI,Profº Luiz Paulo
Optativa II - Metodologias Ágeis,Profº Luiz Paulo
Anatomia Humana I,Hubiratan Padilha
Técnicas Básicas de Laboratório,Agnaldo Olivieira
Introdução à Biomedicina,Acaz Ribeiro
Química Geral e Analítica,Agnaldo Olivieira
Projeto de Extensão,Acaz Ribeiro
Metodologia Científica,Ítalo Duarte
Bioquímica Metabólica,Guilherme Henrique
Fundamentos Sociológicos e Antropológicos,Thales Caixeta
HIstologia e Embriologia,Guilherme Henrique
Genética Humana,Rafaella Araújo
Anatomia Humana I,Ubiratan Padilha
Dinâmica e gestão em Saúde) + Projeto de Extensão),João Pinheiro
Genética e Evolução,Rafaella Araújo
Metodologia Científica,ìtalo César
Políticas Públicas em Saúde,Profº Luiz Fernando
Fundamentos Sosciológicos e Antropológicos,Thales Caixeta
Dinâmica e gestão em Saúde + Extensão,João Pinheiro
Medologia Científica,ìtalo César
Dinâmica e gestão em Saúde + Extensão ),João Pinheiro
MIP - Micro Imuno Parasitologia,Eduardo Loiola
Farmacologia,Agnaldo Oliveira
Enfermagem em Terapêutica Oncológica + Extensão,Bruna Neves
Enfermagem em Paciente Crítico,Cléia Lúcia
Enfermagem na Saúde do Adulto em Situação Cirùrgica,Oséias Alves
Optativa III (primeiros Socorros e Biossegurança),Everton Campos
Enfermagem em Saúde da Família,João Pinheiro
